#,What's your office location,Are you an Intern or a TDP?,What year are you in school?,Is the grass really greener on the other side?,Is a hotdog really a sandwich?,Backend or Frontend?,Is water wet?,Do straws have two holes or one?,Is it Gif or Jif?,Is cereal soup?,"If you are at a restaurant and your waiter doesn't come back, are you the waiter?","Since tomatoes are technically fruits, does that make ketchup jam?",Does pineapple belong on pizza?,If you put one lasagna on top of another lasagna is it two lasagnas or just one big one?,Does Mike Wazowski wink or blink?,"If you fold pizza and eat it, are you eating a sandwich?",Start Date (UTC),Submit Date (UTC),Network ID
uj7pmn6usyh4rkl0uj7pme85js3qr2qx,Buffalo,2022 Intern,Senior,0,1,"print(""Backend"")",1,One Hole,Gif,1,0,0,0,One Lasagna,Blink,1,2022-06-23 17:02:58,2022-06-23 17:05:04,55aa36c74c
cb7kec9aiy5h1yhofn0cb7kezi75z5tq,Buffalo,2022 Intern,Senior,1,1,"print(""Backend"")",0,Two Holes,Gif,0,0,0,0,One Lasagna,Blink,1,2022-06-23 12:24:28,2022-06-23 12:27:01,1a379bb2b4
5x3us0hlqe74y5x3un4tgl05rfmiymr7,Buffalo,2020 TDP,,0,0,&lt;title&gt;Frontend&lt;/title&gt;,0,Two Holes,Jif,0,0,0,1,One Lasagna,Wink,0,2022-06-22 20:07:16,2022-06-22 20:08:40,55aa36c74c
ta3bjn7neuf7485qpikmrta3bjnt3hkz,Buffalo,2022 Intern,Junior,1,1,"print(""Backend"")",1,One Hole,Gif,1,0,0,1,One Lasagna,Blink,1,2022-06-22 18:33:20,2022-06-22 18:34:24,55aa36c74c
ysnc6z9vpeyyzwof54ysnc6zpkxllgll,Buffalo,2022 Intern,Senior,1,1,"print(""Backend"")",1,One Hole,Gif,0,1,1,0,One Lasagna,Blink,0,2022-06-22 18:01:29,2022-06-22 18:06:35,55aa36c74c
m8q3gicyebma5a25m8q3awduqk7lyorz,Buffalo,2022 Intern,Senior,0,0,"print(""Backend"")",1,One Hole,Jif,0,0,0,0,One Lasagna,Blink,0,2022-06-22 17:53:45,2022-06-22 17:55:01,1a379bb2b4
hwr0suinrlumykmuqglehwr0suinhy3w,Buffalo,2022 Intern,Senior,0,1,&lt;title&gt;Frontend&lt;/title&gt;,1,One Hole,Gif,1,1,1,0,One Lasagna,Blink,0,2022-06-22 17:24:59,2022-06-22 17:26:21,55aa36c74c
ar9djxa2sosvyhz7h34ar9djxaschtoc,Buffalo,2021 TDP,,1,0,&lt;title&gt;Frontend&lt;/title&gt;,1,One Hole,Gif,0,0,0,0,One Lasagna,Blink,0,2022-06-22 17:21:06,2022-06-22 17:24:16,1a379bb2b4
ietce9xbgmj1ttw6v6hietce8jowa64m,Buffalo,2022 Intern,Senior,1,0,"print(""Backend"")",0,One Hole,Jif,0,1,0,1,One Lasagna,Blink,0,2022-06-22 17:21:48,2022-06-22 17:23:12,55aa36c74c
09flwfg7jwz1zjpvk9o09flwf69wkh4u,Buffalo,2021 TDP,,1,0,"print(""Backend"")",1,One Hole,Gif,0,0,0,0,One Lasagna,Blink,0,2022-06-22 17:20:31,2022-06-22 17:21:37,1a379bb2b4
7imuqtsu7mrziy4fja7imuqtsj44bbv0,Buffalo,2022 Intern,Senior,1,1,&lt;title&gt;Frontend&lt;/title&gt;,1,Two Holes,Gif,1,0,1,1,One Lasagna,Blink,1,2022-06-22 17:16:23,2022-06-22 17:18:57,55aa36c74c
7k8y8kiybowchadirne7k8y8ki02inj1,Wilmington,2022 Intern,Junior,0,0,"print(""Backend"")",0,One Hole,Gif,0,0,0,1,One Lasagna,Blink,0,2022-06-22 15:13:08,2022-06-22 15:14:48,55aa36c74c
inf87shvrnby629ipx57tprinf87r8yf,Buffalo,2022 Intern,Senior,0,1,"print(""Backend"")",1,Two Holes,Gif,1,0,0,1,Two Lasagnas,Blink,0,2022-06-22 14:47:07,2022-06-22 15:11:18,55aa36c74c
qkf4jmr4wdy7jcyjpzqkf4jrcjof900d,Buffalo,2022 Intern,Junior,0,0,"print(""Backend"")",1,Two Holes,Gif,0,0,0,0,One Lasagna,Wink,0,2022-06-22 15:03:55,2022-06-22 15:08:47,1a379bb2b4
ueprp3lx90rckgjmugv2ueprp3lx99rz,Buffalo,2022 Intern,Junior,1,1,&lt;title&gt;Frontend&lt;/title&gt;,1,One Hole,Gif,1,0,1,0,One Lasagna,Wink,1,2022-06-22 14:55:36,2022-06-22 14:57:02,55aa36c74c
2tjmtduz3bgwklmyd2tj3muhfz4264a3,Buffalo,2022 Intern,Senior,1,1,"print(""Backend"")",1,One Hole,Jif,0,1,0,0,Two Lasagnas,Blink,0,2022-06-22 14:54:39,2022-06-22 14:56:03,55aa36c74c
pegh10a09sxof2ns4pegh1mqioafzroo,Buffalo,2022 Intern,Senior,0,0,&lt;title&gt;Frontend&lt;/title&gt;,1,Two Holes,Jif,0,1,0,1,One Lasagna,Blink,0,2022-06-22 14:53:23,2022-06-22 14:56:02,55aa36c74c
basisne44rx8k2a9dsu6basiaemglx11,Buffalo,2022 Intern,Senior,1,0,&lt;title&gt;Frontend&lt;/title&gt;,1,One Hole,Gif,0,0,0,1,One Lasagna,Blink,0,2022-06-22 14:52:39,2022-06-22 14:54:31,55aa36c74c
bnmc3f5tvo6h3h2bbnmc0dala99w6q5e,Wilmington,2022 Intern,Senior,0,1,"print(""Backend"")",0,One Hole,Gif,0,0,0,1,One Lasagna,Blink,0,2022-06-22 14:51:55,2022-06-22 14:53:14,1a379bb2b4
kcxeggh4r24pyjtp8akcxe9ujjv5u5ov,Buffalo,2022 Intern,Senior,0,1,&lt;title&gt;Frontend&lt;/title&gt;,0,One Hole,Gif,1,0,1,0,One Lasagna,Blink,0,2022-06-22 14:48:54,2022-06-22 14:52:23,1a379bb2b4
o7gcau5sjhixvc2xo7v6r3if1uop3w2b,Wilmington,2022 Intern,Junior,1,1,"print(""Backend"")",0,One Hole,Gif,0,0,0,0,Two Lasagnas,Wink,0,2022-06-22 14:47:44,2022-06-22 14:51:43,55aa36c74c
zu0o3wi6irkm0hi3ujzu0os7c2fdj6d6,Buffalo,2022 Intern,Junior,1,1,"print(""Backend"")",1,One Hole,Jif,0,0,1,1,One Lasagna,Blink,0,2022-06-22 14:49:58,2022-06-22 14:51:04,55aa36c74c
unf8jqn7xel9bjvqdbyunf8jqpeg6in6,Buffalo,2022 Intern,Sophomore,1,1,"print(""Backend"")",0,Two Holes,Gif,0,0,0,1,One Lasagna,Blink,0,2022-06-22 14:47:50,2022-06-22 14:50:31,1a379bb2b4
qsva661gpebp91lxqsvfs8z93p4nnwyj,Buffalo,2022 Intern,Junior,1,0,"print(""Backend"")",1,Two Holes,Jif,1,1,0,0,One Lasagna,Wink,0,2022-06-22 14:46:50,2022-06-22 14:50:31,55aa36c74c
c8db0nt0sci0i9ycac8dz436822nrel0,Buffalo,2022 Intern,Senior,0,1,"print(""Backend"")",1,One Hole,Gif,0,1,1,0,One Lasagna,Blink,0,2022-06-22 14:47:16,2022-06-22 14:50:24,55aa36c74c
zdtxnqbun5uy9ku9zdtxnmw1kfgt40xp,Buffalo,2022 Intern,Senior,1,0,&lt;title&gt;Frontend&lt;/title&gt;,0,One Hole,Jif,0,0,0,0,One Lasagna,Blink,0,2022-06-22 14:48:24,2022-06-22 14:50:14,55aa36c74c
ph7jgbcxv460f2eqjcph7j7eppn4wuv5,Buffalo,2022 Intern,Senior,1,1,"print(""Backend"")",1,One Hole,Gif,0,0,0,0,One Lasagna,Blink,0,2022-06-22 14:49:09,2022-06-22 14:50:08,55aa36c74c
qgjsv4f4i0hkst7tdqgjsv9xn3ps4hqo,Buffalo,2022 Intern,Senior,0,1,"print(""Backend"")",0,Two Holes,Gif,0,0,0,1,Two Lasagnas,Blink,0,2022-06-22 14:47:17,2022-06-22 14:49:59,1a379bb2b4
psuotx9cjn73vpsuo92lb72ynji0nxfu,Buffalo,2022 Intern,Senior,1,0,&lt;title&gt;Frontend&lt;/title&gt;,0,Two Holes,Gif,1,0,1,1,One Lasagna,Blink,1,2022-06-22 14:47:48,2022-06-22 14:49:57,55aa36c74c
63wxsybf16kbn779581c63wxsxjmp5l1,Wilmington,2022 Intern,Senior,1,0,"print(""Backend"")",0,One Hole,Jif,0,0,0,0,One Lasagna,Blink,0,2022-06-22 14:47:25,2022-06-22 14:49:47,55aa36c74c
x83proc9ihzqwkrx83pai2ecsd48ki3r,Buffalo,2022 Intern,Senior,0,0,&lt;title&gt;Frontend&lt;/title&gt;,1,Two Holes,Jif,0,0,0,0,Two Lasagnas,Blink,0,2022-06-22 14:48:08,2022-06-22 14:49:24,55aa36c74c
4z4xvc60gqjlsaedp4z4eg7ncmgrke4r,Buffalo,2022 Intern,Junior,0,0,"print(""Backend"")",1,One Hole,Gif,1,0,0,1,Two Lasagnas,Blink,0,2022-06-22 14:46:55,2022-06-22 14:49:05,55aa36c74c
m1okq3so3dd05gygwl4qm1okqqviexgr,Buffalo,2022 Intern,Senior,1,0,"print(""Backend"")",0,One Hole,Jif,0,1,0,1,Two Lasagnas,Blink,0,2022-06-22 14:46:47,2022-06-22 14:48:52,55aa36c74c
